brend_field,oem_field,name_field,weight_field,volume_field
nhk,1111522050,"GASKET, CYLINDER HEAD METAL",0.129,0.0
nhk,1111528040,"GASKET, CYLINDER HEAD",0.153,0.0
trucktec,0230007,"STOPPER BUSHING, SHOCK ABSORBER",0.035,0.0
pentosin,83290429576,ENGINE OIL ,1.079,0.001
mando,55321C5500,SHOCK ABSORBER,5.222,0.0
mando,585101R000,"CYLINDER, BRAKE MASTER ",0.67,0.0
sangsin brake,SD1006,BRAKE ROTOR,4.918,0.0
sangsin brake,SD3001,BRAKE ROTOR,4.304,0.0
autoline,1320A015,"BLADE, RADIATOR FAN",0.876,0.0
autoline,1636117010,"BLADE, RADIATOR FAN",0.684,0.0
asco,DT009,"DISC, FRICTION  A/T",0.912,0.0
sam,3141034012,"CYLINDER, CLUTCH MASTER ",0.42,0.0
aisin,CRT107,"CYLINDER, CLUTCH RELEASE ",0.471,0.0
aisin,CRT121,"END ASSY, STEERING RACK",0.815,0.0
aisin,DT009,"DISC, FRICTION  A/T",0.883,0.0
bmw,17117639022,"COVER ASSY, PLASTIC",0.092,0.42
bmw,31126773950,"ARM ASSY, SUSPENSION",4.989,0.0
bmw,7703062072,"SLEEVE, RING METAL",0.007,0.018
bmw,83290429576,HYDRAULIC FLUID,1.067,0.0
bando,4PK1055,"BELT, V",0.343,0.0
bando,4PK1060,"BELT, V",0.099,0.0
bando,4PK1065,"BELT, V",0.085,0.0
bando,4PK1070,"BELT, V",0.085,0.0
bando,4PK1420,"BELT, V",0.11,0.0
bando,4PK760,"BELT, V",0.059,0.0
bando,4PK925,"BELT, V",0.075,0.0
bando,4PK930,"BELT, V",0.079,0.0
bando,4PK940,"BELT, V",0.075,0.0
bando,4PK945,"BELT, V",0.081,0.0
bando,4PK980,"BELT, V",0.08,0.0
bando,5PK1165,"BELT, V",0.141,0.0
bando,6PK1180,"BELT, V",0.173,0.0
bando,6PK1565,"BELT, V",0.201,0.0
camellia,048823260,"CHAIN ASSY, TIMING ",0.739,0.0
camellia,1302103G00,PINION ASSY,0.207,0.0
camellia,1302177A00,PINION ASSY,0.154,0.0
camellia,1302477A00,PINION ASSY,0.299,0.0
camellia,1302803G00,"CHAIN ASSY, TIMING ",0.46,0.0
camellia,1302810W00,"CHAIN ASSY, TIMING ",0.826,0.0
camellia,1302831U10,"CHAIN ASSY, TIMING ",0.217,0.0
camellia,1302853F11,"CHAIN ASSY, TIMING ",0.414,0.0
camellia,1302853Y00,"CHAIN ASSY, TIMING ",0.349,0.0
camellia,1302853Y10,"CHAIN ASSY, TIMING ",0.248,0.0
camellia,1307021002,"TENSIONER ASSY, PULLEY",0.216,0.0
camellia,130702J203,"TENSIONER ASSY, PULLEY",0.369,0.0
camellia,1307040F06,"TENSIONER ASSY, PULLEY",0.255,0.0
camellia,1307077A12,"TENSIONER ASSY, CHAIN",0.25,0.0
camellia,1308510W10,"TENSIONER ASSY, TIMING BELT",0.167,0.0
camellia,1308521002,"GUIDE ASSY, TIMING CHAIN",0.238,0.0
camellia,1308531U02,"GUIDE ASSY, TIMING CHAIN",0.144,0.0
camellia,1308553Y00,"TENSIONER ASSY, TIMING CHAIN",0.2,0.0
camellia,1308577A03,"GUIDE ASSY, TIMING CHAIN",0.238,0.0
camellia,13085W0400,"TENSIONER ASSY, PULLEY",0.145,0.0
camellia,1309110W00,"GUIDE ASSY, TIMING CHAIN",0.201,0.0
camellia,1309140F15,"TENSIONER ASSY, TIMING CHAIN",0.392,0.0
camellia,1309177A01,"TENSIONER ASSY, TIMING CHAIN",0.198,0.0
camellia,13091A3500,"TENSIONER ASSY, TIMING CHAIN",0.222,0.0
camellia,1350635010,"CHAIN ASSY, TIMING ",0.409,0.0
camellia,1350775010,"CHAIN ASSY, TIMING ",0.262,0.0
camellia,1352333010,"PINION ASSY, CAMSHAFT",0.295,0.0
camellia,1354022022,"TENSIONER ASSY, PULLEY",0.273,0.0
camellia,1355922011,"SLIPPER, CHAIN TENSIONER",0.155,0.0
camellia,1355934020,"TENSIONER ASSY, PULLEY",0.158,0.0
camellia,1356135020,"TENSIONER ASSY, TIMING CHAIN",0.076,0.0
camellia,1356235020,"TENSIONER ASSY, TIMING CHAIN",0.062,0.0
camellia,1356275010,"TENSIONER ASSY, PULLEY",0.081,0.0
camellia,395312500A,"TENSIONER ASSY, PULLEY",0.21,0.0
contitech,4PK805,"BELT, V",0.066,0.0
contitech,6PK1005,"BELT, V",0.116,0.0
contitech,B62,"BELT, V",0.322,0.0
contitech,BX44,"BELT, V",0.237,0.0
pos,AHH144A0,SEAL RING,0.01,0.0
pos,BH3289E0,SEAL RING,0.042,0.0
pos,BHH816A0,SEAL RING,0.064,0.0
pos,BHH868A0,SEAL RING,0.015,0.0
pos,HE1910155,"SEAL KIT, VALVE STEM OIL",0.003,0.0
pos,MD070695,"SEAL KIT, VALVE STEM OIL",0.003,0.0
ctr,CRT107,"END ASSY, STEERING RACK",0.69,0.0
ctr,CRT121,"END ASSY, STEERING RACK",0.691,0.0
cherry,1104409W01,"GASKET, CYLINDER HEAD METAL",0.457,1.245
cherry,111151701005,"GASKET, CYLINDER HEAD METAL",0.551,1.503
cherry,8973541961,"GASKET, CYLINDER HEAD METAL",0.782,0.0
daihatsu,1350878250,BEARING,0.77,0.0
dokuro,1112228010,VALVE GUIDE,0.019,0.0
dokuro,1112256030,VALVE GUIDE,0.043,0.0
dokuro,1320143G01,"VALVE, INTAKE",0.129,0.0
dokuro,13201H6200,"VALVE, INTAKE",0.078,0.0
dokuro,13201N4200,"VALVE, INTAKE",0.631,0.0
dokuro,132020M600,"VALVE, EXHAUST",0.044,0.0
dokuro,1320238U00,"VALVE, EXHAUST",0.056,0.0
dokuro,1320243G01,"VALVE, EXHAUST",0.108,0.0
dokuro,1320257Y00,VALVE GUIDE,0.042,0.0
dokuro,13202H1000,"VALVE, EXHAUST",0.077,0.0
dokuro,13202H6200,"VALVE, EXHAUST",0.069,0.0
dokuro,13202VJ200,"VALVE, EXHAUST",0.132,0.0
dokuro,1371117010,"VALVE, INTAKE",0.113,0.0
dokuro,1371122030,"VALVE, INTAKE",0.05,0.0
dokuro,1371131030,"VALVE, INTAKE",0.009,0.0
dokuro,1371150060,"VALVE, INTAKE",0.055,0.0
dokuro,1371175110,VALVE GUIDE,0.065,0.0
dokuro,1371210010,"VALVE, INTAKE",0.042,0.0
dokuro,1371510030,"VALVE, EXHAUST",0.231,0.0
dokuro,1371517010,"VALVE, INTAKE",0.099,0.0
dokuro,1371522030,"VALVE, EXHAUST",0.043,0.0
dokuro,1371530030,"VALVE, EXHAUST",0.052,0.0
dokuro,1371531070,"VALVE, EXHAUST",0.0,0.0
dokuro,1371566020,"VALVE, EXHAUST",0.063,0.0
dokuro,1371575090,"VALVE, EXHAUST",0.0,0.0
dokuro,2221123600,"VALVE, EXHAUST",0.059,0.0
dokuro,5117210160,VALVE GUIDE,0.04,0.0
dokuro,MD127841,"VALVE, EXHAUST",0.067,0.0
dokuro,MD342090,"VALVE, EXHAUST",0.043,0.0
dokuro,MD348769,"VALVE, INTAKE",0.072,0.0
dokuro,MD357503,"VALVE, INTAKE",0.05,0.0
dokuro,MD373855,"VALVE, EXHAUST",0.061,0.0
dokuro,MD373888,"VALVE, INTAKE",0.067,0.0
dokuro,ME031886,VALVE GUIDE,0.061,0.0
dokuro,ME031888,VALVE GUIDE,0.056,0.0
dokuro,MR994497,"VALVE, INTAKE",0.149,0.0
dokuro,RF0112111,"VALVE, INTAKE",0.114,0.0
dokuro,TF2012121,"VALVE, EXHAUST",0.138,0.0
zuiko,13085N8400,"TENSIONER ASSY, PULLEY",0.145,0.0
zuiko,1309110W00,"TENSIONER ASSY, TIMING CHAIN",0.231,0.0
zuiko,130914M500,"GUIDE ASSY, TIMING CHAIN",0.394,0.0
zuiko,1356128010,"TENSIONER ASSY, TIMING CHAIN",0.22,0.0
zuiko,1356166010,"TENSIONER ASSY, TIMING CHAIN",0.369,0.0
fuso,MF660035,"WASHER, METAL",0.004,0.0
fuso,ML225279,"PAD KIT, DISC BRAKE",5.119,0.0
gmb,1174910,BEARING,0.096,0.0
gmb,1300A045,WATER PUMP ASSY,2.515,0.0
gmb,161000H030,WATER PUMP,0.872,0.0
gmb,1610029085,WATER PUMP ASSY,1.351,0.0
gmb,1610029415,WATER PUMP ASSY,0.0,0.0
gmb,1610079445,WATER PUMP ASSY,1.751,0.0
gmb,1611069045,WATER PUMP,1.85,0.0
gmb,1740061820,WATER PUMP ASSY,0.913,0.0
gmb,21082VZ00A,"COUPLING ASSY, FLUID",1.44,0.0
gmb,2441026000,"TENSIONER ASSY, PULLEY",0.439,0.0
gmb,2510027400,WATER PUMP ASSY,1.18,0.0
gmb,30205,BEARING,0.176,0.0
gmb,30207,"BEARING, TAPERED",0.371,0.0
gmb,62032RS,BEARING,0.725,0.0
gmb,63082RS,"BEARING, TAPERED",0.692,0.0
gmb,6308ZZ,BEARING,0.701,0.0
gmb,GUT11,CROSSMEMBER ASSY,0.231,0.0
gmb,MD356867,"COUPLING ASSY, RUBBER",2.396,0.0
gmb,ST1640,CROSSMEMBER ASSY,0.097,0.0
hcc,971333SAA0,"FILTER ASSY, AIR ELEMENT",0.143,0.0
hino,9098702017,RELAY,0.036,0.0
honda,01433SR3000,"REPAIR KIT, BRAKE MASTER",0.008,0.0
honda,12210PT2004,"SEAL KIT, VALVE STEM OIL",0.006,0.0
honda,12210PZ1004,"SEAL KIT, VALVE STEM OIL",0.002,0.0
honda,12211PT2004,"SEAL KIT, VALVE STEM OIL",0.003,0.0
honda,12211PZ1004,"SEAL KIT, VALVE STEM OIL",0.002,0.0
honda,12251PWAJ01,"GASKET, CYLINDER HEAD METAL",0.207,0.0
honda,12341PWC000,GASKET RUBBER SEAL,0.036,0.099
honda,12341RNAA01,GASKET RUBBER SEAL,0.039,0.105
honda,1660375010,PULLEY ROLLER ASSY,0.355,0.0
honda,17105P2J014,"GASKET, WATER BY-PASS PAPER",0.068,0.186
honda,22300PPA003,"DISC ASSY, CLUTCH FRICTION",4.91,0.0
honda,50713SH9010,"SUPPORT ASSY, SUSPENSION",0.18,0.0
honda,51320SNAA02,"LINK, STABILIZER",0.204,0.0
honda,51321SNAA02,"LINK, STABILIZER",0.202,0.0
honda,51395SH3003,STOPPER RUBBER,0.042,0.0
honda,51722SS0004,"STOPPER BUSHING, SHOCK ABSORBER",0.044,0.0
honda,52315S10A01,"BUSHING, RUBBER",0.032,0.0
honda,52321S9A003,"LINK, STABILIZER",0.212,0.0
honda,91212PLC003,SEAL RING,0.014,0.0
isuzu,1096254391,SEAL RING,0.143,0.0
isuzu,1096255130,SEAL RING,0.044,0.0
isuzu,1878305210,"REPAIR KIT, BRAKE MASTER",0.061,0.0
isuzu,5117210160,VALVE GUIDE,0.042,0.0
isuzu,5878315980,"REPAIR KIT, BRAKE MASTER",0.045,0.0
isuzu,8942353690,SEAL RING,0.073,0.0
isuzu,8943189100,SEAL RING,0.02,0.0
isuzu,8943264410,SEAL RING,0.013,0.0
isuzu,8973541961,"GASKET, CYLINDER HEAD METAL",0.782,0.0
isuzu,9885111942,OIL FILTER,0.286,0.0
jp group,074115562,OIL FILTER,0.13,0.0
js asakashi,OE31007,OIL FILTER,0.165,0.0
kg,15123245,BEARING,0.252,0.0
kg,30084911,"BEARING, TAPERED",0.265,0.0
kg,30208,"BEARING, TAPERED",0.461,0.0
kg,30302,"BEARING, TAPERED",0.108,0.0
kg,30303D,"BEARING, TAPERED",0.145,0.0
kg,32214,"BEARING, HUB",1.895,0.0
kg,4854810,"BEARING, TAPERED",0.285,0.0
kg,50134910,"BEARING, ROLLER",0.382,0.0
kg,60002RS,BEARING,0.025,0.0
kg,6000ZZ,BEARING,0.022,0.0
kg,60022RS,BEARING,0.035,0.0
kg,6201ZZ,BEARING,0.045,0.0
kg,6207ZZ,"BEARING, TAPERED",0.321,0.0
kg,6300ZZ,BEARING,0.061,0.0
kg,6308ZZ,BEARING,0.701,0.0
koyo,1174910,BEARING,0.098,0.0
koyo,3050221000,BEARING,0.328,0.0
koyo,3050269F10,"BEARING, ROLLER",0.487,0.0
koyo,63022RS,BEARING,0.097,0.0
koyo,6308ZZ,BEARING,0.701,0.0
koyo,HR32207J,"BEARING, HUB",0.0,0.0
koyo,LM4854810,BEARING,0.283,0.0
kayaba,344410,SHOCK ABSORBER,2.342,0.0
lemforder,31126773950,"ARM ASSY, SUSPENSION",4.989,0.0
mitsubishi,1000A407,"REPAIR KIT, ENGINE",1.108,0.0
mitsubishi,1005A621,"GASKET, CYLINDER HEAD METAL",0.103,0.0
mitsubishi,1005B210,"GASKET, CYLINDER HEAD METAL",0.168,0.0
mitsubishi,1300A045,WATER PUMP ASSY,2.448,0.0
mitsubishi,1320A015,"BLADE, RADIATOR FAN",1.118,0.0
mitsubishi,1515A295,TURBOCHARGER ASSY,8.56,0.0
mitsubishi,MB012161,"REPAIR KIT, CLUTCH MASTER",0.074,0.0
mitsubishi,MB111203,"BUSHING, RUBBER",0.034,0.0
mitsubishi,MB430960,"BUSHING, SUSPENSION ARM",0.327,0.0
mitsubishi,MB501711,"DUST BOOT, STEERING ",0.134,0.0
mitsubishi,MB633926,"LINK, STABILIZER",0.166,0.0
mitsubishi,MB664225,SEAL RING,0.03,0.0
mitsubishi,MB664285,SEAL RING,0.037,0.0
mitsubishi,MB808443,SEAL RING,0.031,0.0
mitsubishi,MB808444,SEAL RING,0.022,0.0
mitsubishi,MB809170,"BUSHING, SUSPENSION ARM",0.227,0.0
mitsubishi,MB837719,SEAL RING,0.046,0.0
mitsubishi,MB844456,"BUSHING, STABILIZER",0.026,0.0
mitsubishi,MB951445,"BUSHING, SUSPENSION ARM",0.213,0.0
mitsubishi,MC112208,"REPAIR KIT, BRAKE MASTER",0.024,0.0
mitsubishi,MC112209,"REPAIR KIT, DISC BRAKE",0.04,0.0
mitsubishi,MC113058,"REPAIR KIT, CLUTCH MASTER",0.139,0.0
mitsubishi,MC806925,"REPAIR KIT, DISC BRAKE",0.072,0.0
mitsubishi,MC806926,"REPAIR KIT, DISC BRAKE",0.125,0.0
mitsubishi,MC827472,SEAL RING,0.182,0.0
mitsubishi,MD000508,"SEAL KIT, VALVE STEM OIL",0.004,0.0
mitsubishi,MD127841,"VALVE, EXHAUST",0.061,0.0
mitsubishi,MD152603,SEAL RING,0.013,0.0
mitsubishi,MD168055,SEAL RING,0.013,0.0
mitsubishi,MD179175,"SEAL KIT, VALVE STEM OIL",0.003,0.0
mitsubishi,MD184303,"SEAL KIT, VALVE STEM OIL",0.003,0.0
mitsubishi,MD186784,GASKET RUBBER SEAL,0.067,0.183
mitsubishi,MD188435,GASKET RUBBER SEAL,0.077,0.21
mitsubishi,MD197467,"SEAL KIT, VALVE STEM OIL",0.003,0.0
mitsubishi,MD302172,"SEAL KIT, VALVE STEM OIL",0.003,0.0
mitsubishi,MD303148,GASKET RUBBER SEAL,0.055,0.15
mitsubishi,MD307341,"SEAL KIT, VALVE STEM OIL",0.003,0.0
mitsubishi,MD307342,"SEAL KIT, VALVE STEM OIL",0.003,0.0
mitsubishi,MD307343,"SEAL KIT, VALVE STEM OIL",0.003,0.0
mitsubishi,MD320044,"GASKET, CYLINDER HEAD",0.106,0.0
mitsubishi,MD342090,"VALVE, INTAKE",0.041,0.0
mitsubishi,MD342397,"GASKET, CYLINDER HEAD",0.091,0.0
mitsubishi,MD348769,"VALVE, INTAKE",0.062,0.0
mitsubishi,MD356867,"COUPLING ASSY, FLUID",2.289,0.0
mitsubishi,MD357503,"VALVE, INTAKE",0.044,0.0
mitsubishi,MD372248,SEAL RING,0.031,0.0
mitsubishi,MD373855,"VALVE, EXHAUST",0.056,0.0
mitsubishi,MD373888,"VALVE, INTAKE",0.066,0.0
mitsubishi,ME011110,"GASKET, CYLINDER HEAD METAL",0.512,0.0
mitsubishi,ME011867,SEAL RING,0.173,0.0
mitsubishi,ME013330,"GASKET, CYLINDER HEAD METAL",0.637,0.0
mitsubishi,ME024156,SEAL RING,0.061,0.0
mitsubishi,ME031886,VALVE GUIDE,0.061,0.0
mitsubishi,ME031888,VALVE GUIDE,0.066,0.0
mitsubishi,ME132520,"GASKET, CYLINDER HEAD METAL",0.825,0.0
mitsubishi,ME192209,GASKET RUBBER SEAL,0.067,0.183
mitsubishi,ME200524,"SEAL KIT, VALVE STEM OIL",0.029,0.0
mitsubishi,ME200751,"GASKET, CYLINDER HEAD",0.284,0.0
mitsubishi,ME200754,"GASKET, RUBBER",0.3,0.819
mitsubishi,ME203250,SEAL RING,0.075,0.0
mitsubishi,ME203255,"SEAL KIT, VALVE STEM OIL",0.006,0.0
mitsubishi,ME509766,"REPAIR KIT, BRAKE MASTER",0.067,0.0
mitsubishi,ME606148,"REPAIR KIT, CLUTCH MASTER",0.05,0.0
mitsubishi,ME624211,SEAL RING,0.021,0.0
mitsubishi,MF660035,"WASHER, METAL",0.004,0.0
mitsubishi,MH034175,SEAL RING,0.119,0.0
mitsubishi,MK500114,SEAL RING,0.072,0.0
mitsubishi,ML225279,"PAD KIT, DISC BRAKE",5.016,0.0
mitsubishi,MN103392,"BUSHING, STABILIZER",0.044,0.0
mitsubishi,MN137117,GASKET RUBBER SEAL,0.066,0.18
mitsubishi,MN163381,"GASKET, CYLINDER HEAD METAL",0.12,0.0
mitsubishi,MN171120,"DISC ASSY, CLUTCH FRICTION",7.04,0.0
mitsubishi,MN195370,"GASKET, RUBBER",0.293,0.798
mitsubishi,MR112711,"BUSHING, SUSPENSION ARM",0.436,0.0
mitsubishi,MR145792,SEAL RING,0.028,0.0
mitsubishi,MR150094,"BUSHING, STABILIZER",0.067,0.0
mitsubishi,MR151326,"BUSHING, STABILIZER",0.046,0.0
mitsubishi,MR151375,"BODY PANNEL, BRACKET ASSY",1.04,0.0
mitsubishi,MR232240,"DUST BOOT, KIT AXLE JOINT",0.47,0.0
mitsubishi,MR296296,"ARM ASSY, SUSPENSION",2.506,0.0
mitsubishi,MR403670,"SUPPORT ASSY, ENGINE MOUNTING",1.451,0.0
mitsubishi,MR491361,"DUST BOOT, STEERING ",0.176,0.0
mitsubishi,MR519400,"INSULATOR, ENGINE MOUNTING",1.546,0.0
mitsubishi,MR992256,"BUSHING, SUSPENSION ARM",0.474,0.0
mitsubishi,MR994497,"VALVE, EXHAUST",0.058,0.0
mrk,MM02,KING PIN SPINDLE,2.995,0.0
mitsuboshi,3PK1000,"BELT, V",0.064,0.0
mitsuboshi,3PK1050,"BELT, V",0.059,0.0
mitsuboshi,3PK640,"BELT, V",0.042,0.0
mitsuboshi,3PK715,"BELT, V",0.059,0.0
mitsuboshi,3PK735,"BELT, V",0.057,0.0
mitsuboshi,3PK740,"BELT, V",0.053,0.0
mitsuboshi,3PK765,"BELT, V",0.068,0.0
mitsuboshi,3PK775,"BELT, V",0.048,0.0
mitsuboshi,3PK780,"BELT, V",0.028,0.0
mitsuboshi,3PK815,"BELT, V",0.048,0.0
mitsuboshi,3PK830,"BELT, V",0.053,0.0
mitsuboshi,3PK840,"BELT, V",0.05,0.0
mitsuboshi,3PK870,"BELT, V",0.05,0.0
mitsuboshi,3PK880,"BELT, V",0.054,0.0
mitsuboshi,3PK885,"BELT, V",0.052,0.0
mitsuboshi,3PK930,"BELT, V",0.046,0.0
mitsuboshi,3PK970,"BELT, V",0.057,0.0
mitsuboshi,4PK1015,"BELT, V",0.081,0.0
mitsuboshi,4PK1035,"BELT, V",0.102,0.0
mitsuboshi,4PK1055,"BELT, V",0.343,0.0
mitsuboshi,4PK1060,"BELT, V",0.099,0.0
mitsuboshi,4PK1065,"BELT, V",0.085,0.0
mitsuboshi,4PK1070,"BELT, V",0.085,0.0
mitsuboshi,4PK1095,"BELT, V",0.077,0.0
mitsuboshi,4PK1125,"BELT, V",0.088,0.0
mitsuboshi,4PK1155,"BELT, V",0.088,0.0
mitsuboshi,4PK1160,"BELT, V",0.098,0.0
mitsuboshi,4PK1185,"BELT, V",0.096,0.0
mitsuboshi,4PK1190,"BELT, V",0.094,0.0
mitsuboshi,4PK1195,"BELT, V",0.096,0.0
mitsuboshi,4PK1420,"BELT, V",0.11,0.0
mitsuboshi,4PK1580,"BELT, V",0.127,0.0
mitsuboshi,4PK1640,"BELT, V",0.134,0.0
mitsuboshi,4PK615,"BELT, V",0.053,0.0
mitsuboshi,4PK665,"BELT, V",0.057,0.0
mitsuboshi,4PK760,"BELT, V",0.059,0.0
mitsuboshi,4PK790,"BELT, V",0.061,0.0
mitsuboshi,4PK795,"BELT, V",0.066,0.0
mitsuboshi,4PK805,"BELT, V",0.066,0.0
mitsuboshi,4PK925,"BELT, V",0.075,0.0
mitsuboshi,4PK930,"BELT, V",0.079,0.0
mitsuboshi,4PK940,"BELT, V",0.075,0.0
mitsuboshi,4PK945,"BELT, V",0.081,0.0
mitsuboshi,4PK980,"BELT, V",0.079,0.0
mitsuboshi,4PK995,"BELT, V",0.09,0.0
mitsuboshi,5PK1050,"BELT, V",0.119,0.0
mitsuboshi,5PK1115,"BELT, V",0.129,0.0
mitsuboshi,5PK1165,"BELT, V",0.141,0.0
mitsuboshi,5PK1170,"BELT, V",0.117,0.0
mitsuboshi,5PK1225,"BELT, V",0.136,0.0
mitsuboshi,5PK1320,"BELT, V",0.154,0.0
mitsuboshi,5PK1385,"BELT, V",0.15,0.0
mitsuboshi,5PK1395,"BELT, V",0.12,0.0
mitsuboshi,5PK1400,"BELT, V",0.12,0.0
mitsuboshi,5PK1590,"BELT, V",0.154,0.0
mitsuboshi,5PK850,"BELT, V",0.089,0.0
mitsuboshi,6PK1005,"BELT, V",0.135,0.0
mitsuboshi,6PK1015,"BELT, V",0.122,0.0
mitsuboshi,6PK1180,"BELT, V",0.173,0.0
mitsuboshi,6PK1290,"BELT, V",0.199,0.0
mitsuboshi,6PK1565,"BELT, V",0.204,0.0
mitsuboshi,6PK1575,"BELT, V",0.201,0.0
mitsuboshi,6PK1810,"BELT, V",0.22,0.0
mitsuboshi,6PK1920,"BELT, V",0.227,0.0
mitsuboshi,6PK2050,"BELT, V",0.287,0.0
mitsuboshi,6PK2095,"BELT, V",0.248,0.0
mitsuboshi,6PK2280,"BELT, V",0.317,0.0
mitsuboshi,6PK2415,"BELT, V",0.263,0.0
mitsuboshi,6PK2420,"BELT, V",0.275,0.0
mitsuboshi,6PK2600,"BELT, V",0.266,0.0
mitsuboshi,6PK700,"BELT, V",0.14,0.0
mitsuboshi,6PK725,"BELT, V",0.085,0.0
mitsuboshi,7PK1095,"BELT, V",0.168,0.0
mitsuboshi,B62,"BELT, V",0.353,0.0
mitsuboshi,BX44,"BELT, V",0.251,0.0
musashi,0442212020,SEAL RING,0.07,0.0
musashi,0442220080,"SEAL KIT, WHEEL HUB",0.113,0.0
musashi,0928348007,SEAL RING,0.026,0.0
musashi,0928675001,SEAL RING,0.021,0.0
musashi,1096254391,SEAL RING,0.13,0.0
musashi,1096255130,SEAL RING,0.035,0.0
musashi,1227932200,SEAL RING,0.012,0.0
musashi,1227943G02,SEAL RING,0.059,0.0
musashi,12279R4611,SEAL RING,0.061,0.0
musashi,1304216A05,SEAL RING,0.019,0.0
musashi,2743173H10,SEAL RING,0.036,0.0
musashi,32114Y4000,SEAL RING,0.019,0.0
